,Lote,Data,hora,Local,Faixa,entre_faixa,registro,tipo_registro,placa-hash,especie_veiculo,classe_veiculo,comprimento_veiculo,velocidade_pontual,tempo_ocupacao,velocidade_media
0,L5,2018-06-06,053618,7881,3,0,0097595,0,bab791e157462ccf081f4d7b85ca026b3a1940cd,1,0,000,125,00046,000
1,L5,2018-06-06,053624,7881,3,0,0097596,0,61792428c9e6e4165c27216988662e636e57c432,1,0,000,100,00078,000
2,L5,2018-06-06,053630,7881,3,0,0097597,0,bab791e157462ccf081f4d7b85ca026b3a1940cd,1,0,000,114,00110,000
3,L5,2018-06-06,053636,7881,3,0,0097598,0,bab791e157462ccf081f4d7b85ca026b3a1940cd,1,0,000,117,00063,000
4,L5,2018-06-06,053638,7881,3,0,0097599,0,05e957c4930af3721a6e328dac0acc40688a7c51,1,0,000,119,00063,000
5,L5,2018-06-06,053701,7881,3,0,0097600,0,423a44cc597c93023e7fafbb56844d33ee480f6a,1,0,000,033,00000,000
6,L5,2018-06-06,053706,7881,3,0,0097601,0,bab791e157462ccf081f4d7b85ca026b3a1940cd,1,0,000,017,01482,000
7,L5,2018-06-06,053718,7881,3,0,0097602,0,bab791e157462ccf081f4d7b85ca026b3a1940cd,1,0,000,039,09875,000
8,L5,2018-06-06,053732,7881,3,0,0097603,0,c5b0241421c0ae02994f9608257a1ac6c2892cf1,1,0,000,033,00171,000
9,L5,2018-06-06,053735,7881,3,0,0097604,0,bab791e157462ccf081f4d7b85ca026b3a1940cd,1,0,000,058,00140,000
10,L5,2018-06-06,053737,7881,3,0,0097605,0,5bff5eb72fcc9825407dd5e7cd02691cbbfcae94,1,0,000,058,00125,000
11,L5,2018-06-06,053740,7881,3,0,0097606,0,5fbfa10fb075b6d99c58011f2f12eaa375b957c5,1,0,000,064,00078,000
12,L5,2018-06-06,053742,7881,3,0,0097607,0,7c8bfcb84eddcdd45e345443cef15bab09712198,1,0,000,069,00109,000
13,L5,2018-06-06,053807,7881,3,0,0097608,0,bab791e157462ccf081f4d7b85ca026b3a1940cd,1,0,000,108,00094,000
14,L5,2018-06-06,053810,7881,3,0,0097609,0,8e9b570aabbf3c743ff3cfeaa9a99e8f31ced4cd,1,0,000,106,00046,000
15,L5,2018-06-06,053811,7881,3,0,0097610,0,bab791e157462ccf081f4d7b85ca026b3a1940cd,1,0,000,103,00094,000
16,L5,2018-06-06,053813,7881,3,0,0097611,0,bab791e157462ccf081f4d7b85ca026b3a1940cd,1,0,000,108,00047,000
17,L5,2018-06-06,053827,7881,3,0,0097612,0,bab791e157462ccf081f4d7b85ca026b3a1940cd,1,0,000,081,00109,000
18,L5,2018-06-06,053828,7881,3,0,0097613,0,2bde31d755214fefa88e46b5e94cd8c4feecebd4,1,0,000,078,00093,000
19,L5,2018-06-06,053830,7881,3,0,0097614,0,5857aba17d24f5bd1f8aff451d06696c0f0d7afe,1,0,000,081,00062,000
20,L5,2018-06-06,053833,7881,3,0,0097615,0,948f9c3103b359126d37386faf28ab64360cdca5,3,1,000,083,00094,000
21,L5,2018-06-06,053835,7881,3,0,0097616,0,bab791e157462ccf081f4d7b85ca026b3a1940cd,2,1,000,089,00094,000
22,L5,2018-06-06,053837,7881,3,0,0097617,0,a39d5f5323dadb6bfa9583dff9338be8a1cb112a,1,0,000,072,00094,000
23,L5,2018-06-06,053853,7881,3,0,0097618,0,bab791e157462ccf081f4d7b85ca026b3a1940cd,1,0,000,100,00078,000
24,L2,2018-06-06,053855,4558,3,0,0097619,0,bab791e157462ccf081f4d7b85ca026b3a1940cd,1,0,000,106,00078,000
25,L2,2018-06-06,053912,4558,3,0,0097620,0,5f644d11510aa7f638a27f251cbc75732e380b71,3,1,000,119,00046,000
26,L2,2018-06-06,053915,4558,3,0,0097621,0,ccf85e802379f2f61f8a000713eccf2c1b954ff2,1,0,000,100,00062,000
27,L2,2018-06-06,053920,4558,3,0,0097622,0,bab791e157462ccf081f4d7b85ca026b3a1940cd,1,0,000,100,00078,000
28,L2,2018-06-06,053928,4558,3,0,0097623,0,bab791e157462ccf081f4d7b85ca026b3a1940cd,1,0,000,108,00062,000
29,L2,2018-06-06,053936,4558,3,0,0097624,0,bab791e157462ccf081f4d7b85ca026b3a1940cd,1,0,000,047,00234,000
30,L2,2018-06-06,053959,4558,2,1,0097625,2,bab791e157462ccf081f4d7b85ca026b3a1940cd, , ,   ,   ,     ,   
